지역,주차,평균기온,평년범위,확률_↓,확률_≈,확률_↑
"전국(제주도,북한제외)",1,14.2,13.6~14.8,10,30,60
"전국(제주도,북한제외)",2,13.0,12.3~13.7,20,40,40
"전국(제주도,북한제외)",3,10.8,10.0~11.6,20,40,40
"전국(제주도,북한제외)",4,10.3,9.4~11.2,30,50,20
서울ㆍ인천ㆍ경기도,1,14.0,13.4~14.6,10,40,50
서울ㆍ인천ㆍ경기도,2,12.8,12.0~13.6,20,40,40
서울ㆍ인천ㆍ경기도,3,10.3,9.4~11.2,20,40,40
서울ㆍ인천ㆍ경기도,4,9.8,8.9~10.7,40,40,20
강원도 영서,1,11.6,10.9~12.3,10,40,50
강원도 영서,2,10.3,9.4~11.2,20,40,40
강원도 영서,3,8.0,7.1~8.9,20,40,40
강원도 영서,4,7.6,6.7~8.5,40,40,20
강원도 영동,1,13.8,13.1~14.5,10,30,60
강원도 영동,2,12.5,11.8~13.2,20,40,40
강원도 영동,3,10.8,9.9~11.7,20,40,40
강원도 영동,4,10.4,9.6~11.2,30,50,20
대전ㆍ세종ㆍ충청남도,1,13.8,13.2~14.4,10,30,60
대전ㆍ세종ㆍ충청남도,2,12.8,12.0~13.6,20,40,40
대전ㆍ세종ㆍ충청남도,3,10.4,9.6~11.2,20,40,40
대전ㆍ세종ㆍ충청남도,4,9.9,9.0~10.8,30,50,20
충청북도,1,12.7,12.1~13.3,10,30,60
충청북도,2,11.5,10.6~12.4,20,40,40
충청북도,3,9.2,8.4~10.0,20,40,40
충청북도,4,8.7,7.8~9.6,30,50,20
광주ㆍ전라남도,1,16.1,15.6~16.6,10,30,60
광주ㆍ전라남도,2,15.1,14.5~15.7,20,40,40
광주ㆍ전라남도,3,12.9,12.3~13.5,20,40,40
광주ㆍ전라남도,4,12.4,11.6~13.2,30,50,20
전북자치도,1,13.9,13.3~14.5,10,30,60
전북자치도,2,12.9,12.1~13.7,20,40,40
전북자치도,3,10.7,10.0~11.4,20,40,40
전북자치도,4,10.2,9.3~11.1,30,50,20
부산ㆍ울산ㆍ경상남도,1,15.7,15.2~16.2,10,30,60
부산ㆍ울산ㆍ경상남도,2,14.5,13.8~15.2,20,40,40
부산ㆍ울산ㆍ경상남도,3,12.5,11.8~13.2,20,40,40
부산ㆍ울산ㆍ경상남도,4,12.0,11.2~12.8,30,50,20
대구ㆍ경상북도,1,14.0,13.4~14.6,10,30,60
대구ㆍ경상북도,2,12.7,11.9~13.5,20,40,40
대구ㆍ경상북도,3,10.7,10.0~11.4,20,40,40
대구ㆍ경상북도,4,10.1,9.3~10.9,30,50,20
제주도,1,18.6,18.1~19.1,10,30,60
제주도,2,17.8,17.2~18.4,20,40,40
제주도,3,16.0,15.4~16.6,20,40,40
제주도,4,15.7,15.0~16.4,30,50,20
평안남북도ㆍ황해도,1,11.8,11.1~12.5,10,40,50
평안남북도ㆍ황해도,2,10.6,9.8~11.4,20,40,40
평안남북도ㆍ황해도,3,7.8,6.9~8.7,20,40,40
평안남북도ㆍ황해도,4,7.3,6.4~8.2,40,40,20
함경남북도,1,9.9,9.2~10.6,10,40,50
함경남북도,2,8.5,7.9~9.1,20,40,40
함경남북도,3,6.3,5.4~7.2,20,40,40
함경남북도,4,5.5,4.7~6.3,40,40,20
